,Date,Mean
0,2021-01-01,2.7
1,2021-02-01,3.35
2,2021-03-01,2.62
3,2021-04-01,2.66
4,2021-05-01,2.91
5,2021-06-01,3.26
6,2021-07-01,3.84
7,2021-08-01,4.07
8,2021-09-01,5.16
9,2021-10-01,5.51
10,2021-11-01,5.05
11,2021-12-01,4.24
12,2022-01-01,4.38
13,2022-02-01,4.69
14,2022-03-01,4.94
15,2022-04-01,6.62
16,2022-05-01,8.14
17,2022-06-01,7.75
18,2022-07-01,8.06
19,2022-08-01,8.44
20,2022-09-01,8.8
21,2022-10-01,9.21
22,2022-11-01,9.09
23,2022-12-01,8.43
24,2023-01-01,8.8
25,2023-02-01,10.27
26,2023-03-01,9.02
27,2023-04-01,9.89
28,2023-05-01,10.78
29,2023-06-01,10.74
30,2023-07-01,11.21
31,2023-08-01,11.51
32,2023-09-01,12.24
33,2023-10-01,12.62
34,2023-11-01,12.33
35,2023-12-01,11.35
36,2024-01-01,11.85
37,2024-02-01,12.74
38,2024-03-01,12.22
39,2024-04-01,13.5
40,2024-05-01,14.72
41,2024-06-01,14.48
42,2024-07-01,14.89
43,2024-08-01,15.24
44,2024-09-01,15.78
45,2024-10-01,16.17
46,2024-11-01,15.97
47,2024-12-01,15.15
48,2025-01-01,15.58
49,2025-02-01,16.77
50,2025-03-01,15.88
51,2025-04-01,16.95
52,2025-05-01,18.01
53,2025-06-01,17.87
54,2025-07-01,18.31
55,2025-08-01,18.64
56,2025-09-01,19.27
57,2025-10-01,19.65
58,2025-11-01,19.41
59,2025-12-01,18.51
60,2026-01-01,18.98
